gage_id,canon_id,tile
07SB010,07SB010,h12v02
07SB013,07SB013,h12v02
07TA001,07TA001,h12v02
08AA003,08AA003,h11v02
08AA008,08AA008,h11v02
08AA009,08AA009,h11v02
08AA010,08AA010,h11v02
08AB001,08AB001,h11v02
08AC001,08AC001,h11v02
08HE008,08HE008,h09v03
08HE009,08HE009,h09v03
08HF004,08HF004,h09v03
08HF006,08HF006,h09v03
08HF012,08HF012,h09v03
08HF013,08HF013,h09v03
09AC007,09AC007,h11v02
09AD002,09AD002,h11v02
09AG001,09AG001,h11v02
09AH003,09AH003,h11v02
09AH004,09AH004,h11v02
09AH005,09AH005,h11v02
09BA001,09BA001,h11v02
09BB001,09BB001,h12v02
09BC001,09BC001,h11v02
09BC004,09BC004,h11v02
09CA002,09CA002,h11v02
09CA004,09CA004,h11v02
09CA006,09CA006,h11v02
09CB001,09CB001,h11v02
09DA001,09DA001,h12v02
09DB001,09DB001,h12v02
09DD003,09DD003,h12v02
09DD004,09DD004,h12v02
09EA003,09EA003,h11v02
09EA004,09EA004,h12v02
09EA005,09EA005,h11v02
09EB003,09EB003,h11v02
09EB004,09EB004,h11v02
09FA001,09FA001,h12v02
09FB002,09FB002,h12v02
09FC001,09FC001,h12v02
09FD002,09FD002,h12v02
10AB001,10AB001,h11v02
10AD002,10AD002,h11v02
10EA003,10EA003,h11v02
10EB001,10EB001,h12v02
10ED003,10ED003,h12v02
10ED007,10ED007,h12v02
10ED009,10ED009,h12v02
10FA002,10FA002,h12v02
10FB005,10FB005,h12v02
10GA001,10GA001,h12v02
10GB006,10GB006,h12v02
10GC003,10GC003,h12v02
10HA004,10HA004,h12v02
10HB005,10HB005,h12v02
10KA006,10KA006,h12v02
10KA007,10KA007,h12v02
10KB001,10KB001,h12v02
10LA002,10LA002,h12v02
10LC003,10LC003,h12v02
10MA001,10MA001,h12v02
10MA002,10MA002,h12v02
10MA003,10MA003,h12v02
10MB004,10MB004,h12v02
10MC002,10MC002,h12v02
15200280,15200280,h11v02
15237730,15237730,h10v02
15258000,15258000,h10v02
15261000,15261000,h10v02
15266110,15266110,h10v02
15266300,15266300,h10v02
15271000,15271000,h10v02
15276000,15276000,h10v02
15283700,15283700,h10v02
15284000,15284000,h11v02
15290000,15290000,h10v02
15292000,15292000,h11v02
15292700,15292700,h11v02
15294005,15294005,h10v02
15297610,15297610,h08v03
15477740,15477740,h11v02
15478040,15478040,h11v02
15484000,15484000,h11v02
15493000,15493000,h11v02
15511000,15511000,h11v02
15515060,15515060,h11v02
15564879,15564879,h12v02
15743850,15743850,h11v02
15747000,15747000,h11v02
15896000,15896000,h12v02
15908000,15908000,h12v02
