band,code,class_name,output_column
LC_Type1,1,EvergreenNeedleleaf,lc_type1_c1_pct
LC_Type1,2,EvergreenBroadleaf,lc_type1_c2_pct
LC_Type1,3,DeciduousNeedleleaf,lc_type1_c3_pct
LC_Type1,4,DeciduousBroadleaf,lc_type1_c4_pct
LC_Type1,5,MixedForest,lc_type1_c5_pct
LC_Type1,6,ClosedShrub,lc_type1_c6_pct
LC_Type1,7,OpenShrub,lc_type1_c7_pct
LC_Type1,8,WoodySavanna,lc_type1_c8_pct
LC_Type1,9,Savanna,lc_type1_c9_pct
LC_Type1,10,Grassland,lc_type1_c10_pct
LC_Type1,11,PermanentWetland,lc_type1_c11_pct
LC_Type1,12,Cropland,lc_type1_c12_pct
LC_Type1,13,Urban,lc_type1_c13_pct
LC_Type1,14,CropNatMosaic,lc_type1_c14_pct
LC_Type1,15,SnowIce,lc_type1_c15_pct
LC_Type1,16,Barren,lc_type1_c16_pct
LC_Type1,17,Water,lc_type1_c17_pct
LC_Type2,0,Water,lc_type2_c0_pct
LC_Type2,1,EvergreenNeedleleaf,lc_type2_c1_pct
LC_Type2,2,EvergreenBroadleaf,lc_type2_c2_pct
LC_Type2,3,DeciduousNeedleleaf,lc_type2_c3_pct
LC_Type2,4,DeciduousBroadleaf,lc_type2_c4_pct
LC_Type2,5,MixedForest,lc_type2_c5_pct
LC_Type2,6,ClosedShrub,lc_type2_c6_pct
LC_Type2,7,OpenShrub,lc_type2_c7_pct
LC_Type2,8,WoodySavanna,lc_type2_c8_pct
LC_Type2,9,Savanna,lc_type2_c9_pct
LC_Type2,10,Grassland,lc_type2_c10_pct
LC_Type2,11,PermanentWetland,lc_type2_c11_pct
LC_Type2,12,Cropland,lc_type2_c12_pct
LC_Type2,13,Urban,lc_type2_c13_pct
LC_Type2,14,CropNatMosaic,lc_type2_c14_pct
LC_Type2,15,Barren,lc_type2_c15_pct
LC_Type3,0,Water,lc_type3_c0_pct
LC_Type3,1,Grass_Cereal,lc_type3_c1_pct
LC_Type3,2,Shrub,lc_type3_c2_pct
LC_Type3,3,BroadleafCrop,lc_type3_c3_pct
LC_Type3,4,Savanna,lc_type3_c4_pct
LC_Type3,5,EvergreenBroadleaf,lc_type3_c5_pct
LC_Type3,6,DeciduousBroadleaf,lc_type3_c6_pct
LC_Type3,7,EvergreenNeedleleaf,lc_type3_c7_pct
LC_Type3,8,DeciduousNeedleleaf,lc_type3_c8_pct
LC_Type3,9,NonVegetated,lc_type3_c9_pct
LC_Type3,10,Urban,lc_type3_c10_pct
LC_Type4,0,Water,lc_type4_c0_pct
LC_Type4,1,EvergreenNeedleleafVeg,lc_type4_c1_pct
LC_Type4,2,EvergreenBroadleafVeg,lc_type4_c2_pct
LC_Type4,3,DeciduousNeedleleafVeg,lc_type4_c3_pct
LC_Type4,4,DeciduousBroadleafVeg,lc_type4_c4_pct
LC_Type4,5,AnnualBroadleafVeg,lc_type4_c5_pct
LC_Type4,6,AnnualGrassVeg,lc_type4_c6_pct
LC_Type4,7,NonVegetated,lc_type4_c7_pct
LC_Type4,8,Urban,lc_type4_c8_pct
LC_Type5,0,Water,lc_type5_c0_pct
LC_Type5,1,EvergreenNeedleleafTree,lc_type5_c1_pct
LC_Type5,2,EvergreenBroadleafTree,lc_type5_c2_pct
LC_Type5,3,DeciduousNeedleleafTree,lc_type5_c3_pct
LC_Type5,4,DeciduousBroadleafTree,lc_type5_c4_pct
LC_Type5,5,Shrub,lc_type5_c5_pct
LC_Type5,6,Grass,lc_type5_c6_pct
LC_Type5,7,CerealCrop,lc_type5_c7_pct
LC_Type5,8,BroadleafCrop,lc_type5_c8_pct
LC_Type5,9,Urban,lc_type5_c9_pct
LC_Type5,10,SnowIce,lc_type5_c10_pct
LC_Type5,11,NonVegetated,lc_type5_c11_pct
LC_Prop1,1,LCCS1_1,lc_prop1_c1_pct
LC_Prop1,2,LCCS1_2,lc_prop1_c2_pct
LC_Prop1,3,LCCS1_3,lc_prop1_c3_pct
LC_Prop1,11,LCCS1_11,lc_prop1_c11_pct
LC_Prop1,12,LCCS1_12,lc_prop1_c12_pct
LC_Prop1,13,LCCS1_13,lc_prop1_c13_pct
LC_Prop1,14,LCCS1_14,lc_prop1_c14_pct
LC_Prop1,15,LCCS1_15,lc_prop1_c15_pct
LC_Prop1,16,LCCS1_16,lc_prop1_c16_pct
LC_Prop1,21,LCCS1_21,lc_prop1_c21_pct
LC_Prop1,22,LCCS1_22,lc_prop1_c22_pct
LC_Prop1,31,LCCS1_31,lc_prop1_c31_pct
LC_Prop1,32,LCCS1_32,lc_prop1_c32_pct
LC_Prop1,41,LCCS1_41,lc_prop1_c41_pct
LC_Prop1,42,LCCS1_42,lc_prop1_c42_pct
LC_Prop1,43,LCCS1_43,lc_prop1_c43_pct
LC_Prop2,1,LCCS2_1,lc_prop2_c1_pct
LC_Prop2,2,LCCS2_2,lc_prop2_c2_pct
LC_Prop2,3,LCCS2_3,lc_prop2_c3_pct
LC_Prop2,9,LCCS2_9,lc_prop2_c9_pct
LC_Prop2,10,LCCS2_10,lc_prop2_c10_pct
LC_Prop2,20,LCCS2_20,lc_prop2_c20_pct
LC_Prop2,25,LCCS2_25,lc_prop2_c25_pct
LC_Prop2,30,LCCS2_30,lc_prop2_c30_pct
LC_Prop2,35,LCCS2_35,lc_prop2_c35_pct
LC_Prop2,36,LCCS2_36,lc_prop2_c36_pct
LC_Prop2,40,LCCS2_40,lc_prop2_c40_pct
LC_Prop3,1,LCCS3_1,lc_prop3_c1_pct
LC_Prop3,2,LCCS3_2,lc_prop3_c2_pct
LC_Prop3,3,LCCS3_3,lc_prop3_c3_pct
LC_Prop3,10,LCCS3_10,lc_prop3_c10_pct
LC_Prop3,20,LCCS3_20,lc_prop3_c20_pct
LC_Prop3,27,LCCS3_27,lc_prop3_c27_pct
LC_Prop3,30,LCCS3_30,lc_prop3_c30_pct
LC_Prop3,40,LCCS3_40,lc_prop3_c40_pct
LC_Prop3,50,LCCS3_50,lc_prop3_c50_pct
LC_Prop3,51,LCCS3_51,lc_prop3_c51_pct
