"","STATION_NUMBER","STATION_NAME","PROV_TERR_STATE_LOC","HYD_STATUS","REAL_TIME","LATITUDE","LONGITUDE","station_tz","standard_offset","OlsonName"
"1","01AD003","ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE","NB","ACTIVE",TRUE,47.20661,-68.95694,"America/Moncton",-4,"Etc/GMT+4"
"2","01AD004","SAINT JOHN RIVER AT EDMUNDSTON","NB","ACTIVE",TRUE,47.36078,-68.32489,"America/Moncton",-4,"Etc/GMT+4"
"3","01AF002","SAINT JOHN RIVER AT GRAND FALLS","NB","ACTIVE",TRUE,47.03889,-67.73972,"America/Moncton",-4,"Etc/GMT+4"
"4","01AF007","GRANDE RIVIERE AT VIOLETTE BRIDGE","NB","ACTIVE",TRUE,47.24697,-67.92128,"America/Moncton",-4,"Etc/GMT+4"
"5","01AF009","IROQUOIS RIVER AT MOULIN MORNEAULT","NB","ACTIVE",TRUE,47.45783,-68.35683,"America/Moncton",-4,"Etc/GMT+4"
"6","01AG003","AROOSTOOK RIVER NEAR TINKER","NB","ACTIVE",TRUE,46.81636,-67.75197,"America/Moncton",-4,"Etc/GMT+4"
"7","01AH002","TOBIQUE RIVER AT RILEY BROOK","NB","ACTIVE",TRUE,47.17303,-67.21081,"America/Moncton",-4,"Etc/GMT+4"
"8","01AJ003","MEDUXNEKEAG RIVER NEAR BELLEVILLE","NB","ACTIVE",TRUE,46.21622,-67.72794,"America/Moncton",-4,"Etc/GMT+4"
"9","01AJ004","BIG PRESQUE ISLE STREAM AT TRACEY MILLS","NB","ACTIVE",TRUE,46.43836,-67.73844,"America/Moncton",-4,"Etc/GMT+4"
"10","01AJ010","BECAGUIMEC STREAM AT COLDSTREAM","NB","ACTIVE",TRUE,46.34089,-67.46511,"America/Moncton",-4,"Etc/GMT+4"
"11","01AK001","SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY","NB","ACTIVE",TRUE,45.94353,-67.32036,"America/Moncton",-4,"Etc/GMT+4"
"12","01AK003","SAINT JOHN RIVER AT FREDERICTON","NB","ACTIVE",TRUE,45.96619,-66.65161,"America/Moncton",-4,"Etc/GMT+4"
"13","01AK006","MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM","NB","ACTIVE",TRUE,46.08281,-66.73303,"America/Moncton",-4,"Etc/GMT+4"
"14","01AK007","NACKAWIC STREAM NEAR TEMPERANCE VALE","NB","ACTIVE",TRUE,46.04878,-67.23961,"America/Moncton",-4,"Etc/GMT+4"
"15","01AL002","NASHWAAK RIVER AT DURHAM BRIDGE","NB","ACTIVE",TRUE,46.12592,-66.61131,"America/Moncton",-4,"Etc/GMT+4"
"16","01AL004","NARROWS MOUNTAIN BROOK NEAR NARROWS MOUNTAIN","NB","ACTIVE",TRUE,46.27717,-67.02139,"America/Moncton",-4,"Etc/GMT+4"
"17","01AM001","NORTH BRANCH OROMOCTO RIVER AT TRACY","NB","ACTIVE",TRUE,45.67378,-66.68289,"America/Moncton",-4,"Etc/GMT+4"
"18","01AN002","SALMON RIVER AT CASTAWAY","NB","ACTIVE",TRUE,46.29072,-65.72275,"America/Moncton",-4,"Etc/GMT+4"
"19","01AO002","SAINT JOHN RIVER AT MAUGERVILLE","NB","ACTIVE",TRUE,45.86647,-66.45317,"America/Moncton",-4,"Etc/GMT+4"
"20","01AO003","GRAND LAKE AT NEWCASTLE CREEK","NB","ACTIVE",TRUE,46.0564,-66.0057,"America/Moncton",-4,"Etc/GMT+4"
"21","01AO004","JEMSEG RIVER AT JEMSEG","NB","ACTIVE",TRUE,45.82892,-66.11542,"America/Moncton",-4,"Etc/GMT+4"
"22","01AO010","FRENCH LAKE AT LAKEVILLE CORNER","NB","ACTIVE",TRUE,45.90883,-66.25644,"America/Moncton",-4,"Etc/GMT+4"
"23","01AO011","SAINT JOHN RIVER AT UPPER GAGETOWN","NB","ACTIVE",TRUE,45.84725,-66.23486,"America/Moncton",-4,"Etc/GMT+4"
"24","01AO012","SAINT JOHN RIVER AT GAGETOWN","NB","ACTIVE",TRUE,45.76867,-66.14036,"America/Moncton",-4,"Etc/GMT+4"
"25","01AP002","CANAAN RIVER AT EAST CANAAN","NB","ACTIVE",TRUE,46.07236,-65.36639,"America/Moncton",-4,"Etc/GMT+4"
"26","01AP003","SAINT JOHN RIVER AT OAK POINT","NB","ACTIVE",TRUE,45.51942,-66.07661,"America/Moncton",-4,"Etc/GMT+4"
"27","01AP004","KENNEBECASIS RIVER AT APOHAQUI","NB","ACTIVE",TRUE,45.70139,-65.60169,"America/Moncton",-4,"Etc/GMT+4"
"28","01AP005","SAINT JOHN RIVER AT SAINT JOHN","NB","ACTIVE",TRUE,45.27339,-66.08889,"America/Moncton",-4,"Etc/GMT+4"
"29","01AP006","NEREPIS RIVER NEAR FOWLERS CORNER","NB","ACTIVE",TRUE,45.50344,-66.31897,"America/Moncton",-4,"Etc/GMT+4"
"30","01AQ001","LEPREAU RIVER AT LEPREAU","NB","ACTIVE",TRUE,45.16978,-66.46828,"America/Moncton",-4,"Etc/GMT+4"
"31","01AQ002","MAGAGUADAVIC RIVER AT ELMCROFT","NB","ACTIVE",TRUE,45.27333,-66.80667,"America/Moncton",-4,"Etc/GMT+4"
"32","01AQ007","MAGAGUADAVIC LAKE NEAR UPPER MAGAGUADAVIC","NB","ACTIVE",TRUE,45.71975,-67.18356,"America/Moncton",-4,"Etc/GMT+4"
"33","01AR006","DENNIS STREAM NEAR ST. STEPHEN","NB","ACTIVE",TRUE,45.20903,-67.26215,"America/Moncton",-4,"Etc/GMT+4"
"34","01AR009","GRAND LAKE AT FOREST CITY","NB","ACTIVE",TRUE,45.66489,-67.73589,"America/New_York",-5,"Etc/GMT+5"
"35","01AR010","SPEDNIC LAKE AT ST. CROIX","NB","ACTIVE",TRUE,45.56922,-67.42725,"America/Moncton",-4,"Etc/GMT+4"
"36","01AR011","FOREST CITY STREAM BELOW FOREST CITY DAM","NB","ACTIVE",TRUE,45.66417,-67.73356,"America/New_York",-5,"Etc/GMT+5"
"37","01AR013","GRAND FALLS FLOWAGE AT GRAND FALLS","NB","ACTIVE",TRUE,45.274323,-67.479636,"America/New_York",-5,"Etc/GMT+5"
"38","01AR014","ST. CROIX RIVER AT MILLTOWN DAM","NB","ACTIVE",TRUE,45.17522,-67.2929,"America/New_York",-5,"Etc/GMT+5"
"39","01BC001","RESTIGOUCHE RIVER BELOW KEDGWICK RIVER","NB","ACTIVE",TRUE,47.66708,-67.48308,"America/Moncton",-4,"Etc/GMT+4"
"40","01BE001","UPSALQUITCH RIVER AT UPSALQUITCH","NB","ACTIVE",TRUE,47.83247,-66.88708,"America/Moncton",-4,"Etc/GMT+4"
"41","01BJ003","JACQUET RIVER NEAR DURHAM CENTRE","NB","ACTIVE",TRUE,47.89381,-66.02522,"America/Moncton",-4,"Etc/GMT+4"
"42","01BJ007","RESTIGOUCHE RIVER ABOVE RAFTING GROUND BROOK","NB","ACTIVE",TRUE,47.90867,-66.94806,"America/Moncton",-4,"Etc/GMT+4"
"43","01BJ010","MIDDLE RIVER NEAR BATHURST","NB","ACTIVE",TRUE,47.60839,-65.72181,"America/Moncton",-4,"Etc/GMT+4"
"44","01BJ012","EEL RIVER NEAR DUNDEE","NB","ACTIVE",TRUE,47.98789,-66.49061,"America/Moncton",-4,"Etc/GMT+4"
"45","01BL002","RIVIERE CARAQUET AT BURNSVILLE","NB","ACTIVE",TRUE,47.70561,-65.15539,"America/Moncton",-4,"Etc/GMT+4"
"46","01BL003","BIG TRACADIE RIVER AT MURCHY BRIDGE CROSSING","NB","ACTIVE",TRUE,47.43578,-65.10606,"America/Moncton",-4,"Etc/GMT+4"
"47","01BO001","SOUTHWEST MIRAMICHI RIVER AT BLACKVILLE","NB","ACTIVE",TRUE,46.736,-65.82561,"America/Moncton",-4,"Etc/GMT+4"
"48","01BP001","LITTLE SOUTHWEST MIRAMICHI RIVER AT LYTTLETON","NB","ACTIVE",TRUE,46.93597,-65.90739,"America/Moncton",-4,"Etc/GMT+4"
"49","01BP002","CATAMARAN BROOK AT REPAP ROAD BRIDGE","NB","ACTIVE",TRUE,46.85656,-66.19011,"America/Moncton",-4,"Etc/GMT+4"
"50","01BQ001","NORTHWEST MIRAMICHI RIVER AT TROUT BROOK","NB","ACTIVE",TRUE,47.09475,-65.8365,"America/Moncton",-4,"Etc/GMT+4"
"51","01BS001","COAL BRANCH RIVER AT BEERSVILLE","NB","ACTIVE",TRUE,46.44394,-65.06494,"America/Moncton",-4,"Etc/GMT+4"
"52","01BU002","PETITCODIAC RIVER NEAR PETITCODIAC","NB","ACTIVE",TRUE,45.94639,-65.16819,"America/Moncton",-4,"Etc/GMT+4"
"53","01BU009","HOLMES BROOK SITE NO. 9 NEAR PETITCODIAC","NB","ACTIVE",TRUE,45.88786,-65.14678,"America/Moncton",-4,"Etc/GMT+4"
"54","01BV004","BLACK RIVER AT GARNET SETTLEMENT","NB","ACTIVE",TRUE,45.30658,-65.84922,"America/Moncton",-4,"Etc/GMT+4"
"55","01BV006","POINT WOLFE RIVER AT FUNDY NATIONAL PARK","NB","ACTIVE",TRUE,45.55856,-65.01597,"America/Moncton",-4,"Etc/GMT+4"
"56","01CA003","CARRUTHERS BROOK NEAR ST. ANTHONY","PE","ACTIVE",TRUE,46.74411,-64.187,"America/Halifax",-4,"Etc/GMT+4"
"57","01CB002","DUNK RIVER AT WALL ROAD","PE","ACTIVE",TRUE,46.34586,-63.63333,"America/Halifax",-4,"Etc/GMT+4"
"58","01CB004","WILMOT RIVER NEAR WILMOT VALLEY","PE","ACTIVE",TRUE,46.39331,-63.65939,"America/Halifax",-4,"Etc/GMT+4"
"59","01CB018","BARBARA WEIT STREAM AT CAVENDISH FARM","PE","ACTIVE",TRUE,46.4275,-63.68042,"America/Halifax",-4,"Etc/GMT+4"
"60","01CC002","WINTER RIVER NEAR SUFFOLK","PE","ACTIVE",TRUE,46.33206,-63.06547,"America/Halifax",-4,"Etc/GMT+4"
"61","01CC005","WEST RIVER AT RIVERDALE","PE","ACTIVE",TRUE,46.23139,-63.35108,"America/Halifax",-4,"Etc/GMT+4"
"62","01CC010","WINTER RIVER AT UNION","PE","ACTIVE",TRUE,46.31481,-63.12336,"America/Halifax",-4,"Etc/GMT+4"
"63","01CC011","COLES CREEK AT MILTONVALE PUMPING STATION","PE","ACTIVE",TRUE,46.31025,-63.19489,"America/Halifax",-4,"Etc/GMT+4"
"64","01CD005","BEAR RIVER AT ST. MARGARETS","PE","ACTIVE",TRUE,46.45314,-62.38233,"America/Halifax",-4,"Etc/GMT+4"
"65","01DC005","ANNAPOLIS RIVER AT WILMOT","NS","ACTIVE",TRUE,44.94919,-65.02939,"America/Halifax",-4,"Etc/GMT+4"
"66","01DC007","ANNAPOLIS RIVER AT LAWRENCETOWN","NS","ACTIVE",TRUE,44.88083,-65.15792,"America/Halifax",-4,"Etc/GMT+4"
"67","01DD002","CORNWALLIS RIVER AT CAMBRIDGE STATION","NS","ACTIVE",TRUE,45.06478,-64.63533,"America/Halifax",-4,"Etc/GMT+4"
"68","01DD005","NORTH BROOK AT SHEFFIELD MILLS","NS","ACTIVE",TRUE,45.15056,-64.475,"America/Halifax",-4,"Etc/GMT+4"
"69","01DG003","BEAVERBANK RIVER NEAR KINSAC","NS","ACTIVE",TRUE,44.85111,-63.66389,"America/Halifax",-4,"Etc/GMT+4"
"70","01DG043","ST ANDREWS RIVER AT STEWIACKE","NS","ACTIVE",TRUE,45.12306,-63.34975,"America/Halifax",-4,"Etc/GMT+4"
"71","01DH002","SALMON RIVER AT MURRAY","NS","ACTIVE",TRUE,45.36917,-63.21544,"America/Halifax",-4,"Etc/GMT+4"
"72","01DH004","NORTH RIVER AT NORTH RIVER","NS","ACTIVE",TRUE,45.42556,-63.25472,"America/Halifax",-4,"Etc/GMT+4"
"73","01DH006","MCCLURES BROOK AT COBEQUID TRAIL","NS","ACTIVE",TRUE,45.35883,-63.29589,"America/Halifax",-4,"Etc/GMT+4"
"74","01DJ005","GREAT VILLAGE RIVER NEAR SCRABBLE HILL","NS","ACTIVE",TRUE,45.43822,-63.598,"America/Halifax",-4,"Etc/GMT+4"
"75","01DL001","KELLEY RIVER (MILL CREEK) AT EIGHT MILE FORD","NS","ACTIVE",TRUE,45.58681,-64.45069,"America/Halifax",-4,"Etc/GMT+4"
"76","01DP004","MIDDLE RIVER OF PICTOU AT ROCKLIN","NS","ACTIVE",TRUE,45.49739,-62.78019,"America/Halifax",-4,"Etc/GMT+4"
"77","01DR001","SOUTH RIVER AT ST. ANDREWS","NS","ACTIVE",TRUE,45.55972,-61.90364,"America/Halifax",-4,"Etc/GMT+4"
"78","01EA003","TUSKET RIVER AT WILSON'S BRIDGE","NS","ACTIVE",TRUE,43.92481,-65.86853,"America/Halifax",-4,"Etc/GMT+4"
"79","01EC001","ROSEWAY RIVER AT LOWER OHIO","NS","ACTIVE",TRUE,43.83736,-65.36911,"America/Halifax",-4,"Etc/GMT+4"
"80","01ED005","MERSEY RIVER BELOW GEORGE LAKE","NS","ACTIVE",TRUE,44.33314,-65.20508,"America/Halifax",-4,"Etc/GMT+4"
"81","01ED007","MERSEY RIVER BELOW MILL FALLS","NS","ACTIVE",TRUE,44.43678,-65.22186,"America/Halifax",-4,"Etc/GMT+4"
"82","01ED013","SHELBURNE RIVER AT POLLARD'S FALLS BRIDGE","NS","ACTIVE",TRUE,44.21542,-65.24142,"America/Halifax",-4,"Etc/GMT+4"
"83","01EE005","MOOSE PIT BROOK AT TUPPER LAKE","NS","ACTIVE",TRUE,44.46183,-65.04778,"America/Halifax",-4,"Etc/GMT+4"
"84","01EF001","LAHAVE RIVER AT WEST NORTHFIELD","NS","ACTIVE",TRUE,44.44744,-64.59119,"America/Halifax",-4,"Etc/GMT+4"
"85","01EJ001","SACKVILLE RIVER AT BEDFORD","NS","ACTIVE",TRUE,44.73153,-63.66044,"America/Halifax",-4,"Etc/GMT+4"
"86","01EJ004","LITTLE SACKVILLE RIVER AT MIDDLE SACKVILLE","NS","ACTIVE",TRUE,44.76447,-63.6875,"America/Halifax",-4,"Etc/GMT+4"
"87","01EO001","ST. MARYS RIVER AT STILLWATER","NS","ACTIVE",TRUE,45.17439,-61.97992,"America/Halifax",-4,"Etc/GMT+4"
"88","01FA001","RIVER INHABITANTS AT GLENORA","NS","ACTIVE",TRUE,45.72025,-61.28611,"America/Halifax",-4,"Etc/GMT+4"
"89","01FB001","NORTHEAST MARGAREE RIVER AT MARGAREE VALLEY","NS","ACTIVE",TRUE,46.36897,-60.97528,"America/Halifax",-4,"Etc/GMT+4"
"90","01FB003","SOUTHWEST MARGAREE RIVER NEAR UPPER MARGAREE","NS","ACTIVE",TRUE,46.22311,-61.13692,"America/Halifax",-4,"Etc/GMT+4"
"91","01FC002","CHETICAMP RIVER ABOVE ROBERT BROOK","NS","ACTIVE",TRUE,46.64158,-60.94611,"America/Halifax",-4,"Etc/GMT+4"
