STATION_NUMBER,RHBN,REGULATED
01AA002,FALSE,FALSE
01AD001,FALSE,TRUE
01AD002,TRUE,FALSE
01AD003,TRUE,FALSE
01AD004,FALSE,FALSE
01AD005,FALSE,TRUE
01AD008,FALSE,FALSE
01AD009,FALSE,FALSE
01AD012,FALSE,FALSE
01AD013,FALSE,FALSE
01AD014,FALSE,FALSE
01AD015,FALSE,
01AE001,FALSE,FALSE
01AF002,FALSE,TRUE
01AF003,FALSE,TRUE
01AF006,FALSE,FALSE
01AF007,FALSE,FALSE
01AF008,FALSE,TRUE
01AF009,FALSE,FALSE
01AF010,FALSE,TRUE
01AF011,FALSE,FALSE
01AG002,FALSE,FALSE
01AG003,FALSE,TRUE
01AH001,FALSE,FALSE
01AH002,FALSE,TRUE
01AH003,FALSE,TRUE
01AH004,FALSE,TRUE
01AH005,FALSE,FALSE
01AJ001,FALSE,TRUE
01AJ002,FALSE,TRUE
01AJ003,FALSE,FALSE
01AJ004,TRUE,FALSE
01AJ005,FALSE,TRUE
01AJ006,FALSE,FALSE
01AJ007,FALSE,FALSE
01AJ008,FALSE,TRUE
01AJ009,FALSE,TRUE
01AJ010,TRUE,FALSE
01AJ011,FALSE,FALSE
01AJ012,FALSE,TRUE
01AJ013,FALSE,FALSE
01AK001,TRUE,FALSE
01AK002,FALSE,TRUE
01AK003,FALSE,TRUE
01AK004,FALSE,TRUE
01AK005,FALSE,FALSE
01AK006,FALSE,FALSE
01AK007,FALSE,FALSE
01AK008,FALSE,FALSE
01AK009,FALSE,TRUE
01AK010,FALSE,TRUE
01AL001,FALSE,
01AL002,FALSE,FALSE
01AL003,FALSE,FALSE
01AL004,TRUE,FALSE
01AL005,FALSE,FALSE
01AL006,FALSE,FALSE
01AL007,FALSE,FALSE
01AL008,FALSE,FALSE
01AM001,FALSE,FALSE
01AN001,FALSE,FALSE
01AN002,FALSE,FALSE
01AO001,FALSE,FALSE
01AO002,FALSE,TRUE
01AO003,FALSE,TRUE
01AO004,FALSE,TRUE
01AO009,FALSE,FALSE
01AO010,FALSE,TRUE
01AO011,FALSE,TRUE
01AO012,FALSE,TRUE
01AP001,FALSE,FALSE
01AP002,TRUE,FALSE
01AP003,FALSE,TRUE
01AP004,TRUE,FALSE
01AP005,FALSE,TRUE
01AP006,FALSE,FALSE
01AP009,FALSE,FALSE
01AP010,FALSE,FALSE
01AQ001,TRUE,FALSE
01AQ002,FALSE,TRUE
01AQ003,FALSE,TRUE
01AQ004,FALSE,TRUE
01AQ005,FALSE,TRUE
01AQ006,FALSE,FALSE
01AQ007,FALSE,TRUE
01AQ008,FALSE,FALSE
01AQ009,FALSE,TRUE
01AR001,FALSE,FALSE
01AR002,FALSE,FALSE
01AR003,FALSE,TRUE
01AR004,FALSE,TRUE
01AR005,FALSE,TRUE
01AR006,FALSE,TRUE
01AR007,FALSE,FALSE
01AR008,FALSE,FALSE
01AR009,FALSE,TRUE
01AR010,FALSE,TRUE
01AR011,FALSE,TRUE
01AR012,FALSE,FALSE
01AR013,FALSE,TRUE
01AR014,FALSE,TRUE
01BA001,FALSE,FALSE
01BC001,TRUE,FALSE
01BD001,FALSE,TRUE
01BD002,FALSE,FALSE
01BD004,FALSE,FALSE
01BD005,FALSE,FALSE
01BD008,FALSE,FALSE
